index_pos,geno_pos
445,chr13 480000
446,chr13 500000
447,chr13 520000
448,chr13 540000
449,chr13 560000
450,chr13 580000
451,chr13 600000
452,chr13 620000
453,chr13 640000
454,chr13 660000
455,chr13 680000
456,chr13 700000
457,chr13 720000
458,chr13 740000
459,chr13 760000
460,chr13 780000
461,chr13 800000
462,chr13 820000
463,chr13 840000
464,chr13 860000
465,chr13 880000
466,chr13 900000
467,chr13 920000
468,chr14 0
469,chr14 20000
470,chr14 40000
471,chr14 60000
472,chr14 80000
473,chr14 100000
474,chr14 120000
475,chr14 140000
476,chr14 160000
477,chr14 180000
478,chr14 200000
479,chr14 220000
480,chr14 240000
481,chr14 260000
482,chr14 280000
483,chr14 300000
484,chr14 320000
485,chr14 340000
486,chr14 360000
487,chr14 380000
488,chr14 400000
489,chr14 420000
490,chr14 440000
491,chr14 460000
492,chr14 480000
493,chr14 500000
494,chr14 520000
495,chr14 540000
496,chr14 560000
497,chr14 580000
498,chr14 600000
499,chr14 620000
500,chr14 640000
501,chr14 660000
502,chr14 680000
503,chr14 700000
504,chr14 720000
505,chr14 740000
506,chr14 760000
507,chr14 780000
508,chr15 0
509,chr15 20000
510,chr15 40000
511,chr15 60000
512,chr15 80000
513,chr15 100000
514,chr15 120000
515,chr15 140000
516,chr15 160000
517,chr15 180000
518,chr15 200000
519,chr15 220000
520,chr15 240000
521,chr15 260000
522,chr15 280000
523,chr15 300000
524,chr15 320000
525,chr15 340000
526,chr15 360000
527,chr15 380000
528,chr15 400000
529,chr15 420000
530,chr15 440000
531,chr15 460000
532,chr15 480000
533,chr15 500000
534,chr15 520000
535,chr15 540000
536,chr15 560000
537,chr15 580000
538,chr15 600000
539,chr15 620000
540,chr15 640000
541,chr15 660000
542,chr15 680000
543,chr15 700000
544,chr15 720000
545,chr15 740000
546,chr15 760000
547,chr15 780000
548,chr15 800000
549,chr15 820000
550,chr15 840000
551,chr15 860000
552,chr15 880000
553,chr15 900000
554,chr15 920000
555,chr15 940000
556,chr15 960000
557,chr15 980000
558,chr15 1000000
559,chr15 1020000
560,chr15 1040000
561,chr15 1060000
562,chr15 1080000
563,chr16 0
564,chr16 20000
565,chr16 40000
566,chr16 60000
567,chr16 80000
568,chr16 100000
569,chr16 120000
570,chr16 140000
571,chr16 160000
572,chr16 180000
573,chr16 200000
574,chr16 220000
575,chr16 240000
576,chr16 260000
577,chr16 280000
578,chr16 300000
579,chr16 320000
580,chr16 340000
581,chr16 360000
582,chr16 380000
583,chr16 400000
584,chr16 420000
585,chr16 440000
586,chr16 460000
587,chr16 480000
588,chr16 500000
589,chr16 520000
590,chr16 540000
591,chr16 560000
592,chr16 580000
593,chr16 600000
594,chr16 620000
595,chr16 640000
596,chr16 660000
597,chr16 680000
598,chr16 700000
599,chr16 720000
600,chr16 740000
601,chr16 760000
602,chr16 780000
603,chr16 800000
604,chr16 820000
605,chr16 840000
606,chr16 860000
607,chr16 880000
608,chr16 900000
609,chr16 920000
610,chr16 940000
